subtitle_index,start,end,text,season_num,episode_num,episode_name,filename
78,00:07:36.590000,00:07:38.220000,<i>That's a beautiful sight.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
79,00:07:38.320000,00:07:42.831000,Never understood how you keep them all headed in the same direction.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
80,00:07:42.931000,00:07:44.891000,"i forget you dress like a cowboy,",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
81,00:07:45.001000,00:07:47.031000,But that's about the extent of it.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
82,00:07:50.871000,00:07:52.772000,See that one?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
83,00:07:52.872000,00:07:56.112000,<i> Yeah. That's the judas steer.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
84,00:07:56.212000,00:07:59.412000,Rest will follow wherever you make him go.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
85,00:08:00.952000,00:08:03.183000,How do you pick him out?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
86,00:08:03.283000,00:08:04.913000,Just know these things.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
87,00:08:06.983000,00:08:09.253000,Same as i knew you'd be back.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
88,00:08:10.893000,00:08:12.894000,You saying i'm predictable?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
89,00:08:14.764000,00:08:17.064000,There's a path for everyone.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
90,00:08:18.264000,00:08:21.635000,Your path leads you back to me.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
91,00:08:21.735000,00:08:24.235000,I know things will work out the way they're meant to.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
92,00:08:30.345000,00:08:34.646000,Same as i know my daddy still won't be happy to see you.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
93,00:08:50.967000,00:08:54.138000,Father wouldn't let them roam this close to dark.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
94,00:09:00.878000,00:09:02.179000,"Stay put, dolores.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
95,00:09:12.760000,00:09:14.590000,Ain't you got anything out here,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
96,00:09:14.700000,00:09:16.860000,"Other than milk, old man?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
97,00:09:16.960000,00:09:18.830000,Go ahead.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
98,00:09:18.930000,00:09:21.800000,"I'm in no rush to meet my judgment,",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
99,00:09:21.900000,00:09:25.101000,"But i'm more sure of the outcome than you, you son of a--",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
100,00:09:29.811000,00:09:31.841000,"Nothing but milk, then.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
101,00:09:39.392000,00:09:41.752000,Shame of it is you killed the old woman,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
102,00:09:41.862000,00:09:43.823000,Before any of us could have a turn.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
103,00:09:46.293000,00:09:49.333000,I reckon she's still warm enough.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
104,00:09:49.433000,00:09:51.263000,Nobody gonna judge you for it.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
105,00:10:01.414000,00:10:03.015000,"Oh, shit. Shit, shit, shit.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
106,00:10:13.626000,00:10:16.056000,"<i>Last question, dolores.</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
107,00:10:16.166000,00:10:19.226000,<i>What if i told you that you were wrong?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
108,00:10:19.336000,00:10:21.736000,<i>That there are no chance encounters?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
109,00:10:24.337000,00:10:26.837000,<i>That you and everyone you know</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
110,00:10:26.937000,00:10:28.607000,<i>Were built to gratify the desires</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
111,00:10:28.707000,00:10:31.477000,<i>Of the people who pay to visit your world?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
112,00:10:31.577000,00:10:33.378000,Daddy!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
113,00:10:33.478000,00:10:34.918000,Daddy!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
114,00:10:35.018000,00:10:37.848000,daddy! No!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
115,00:10:37.958000,00:10:40.918000,"<i>The people you call ""the newcomers.""</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
116,00:10:41.028000,00:10:43.129000,Hello again.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
117,00:10:47.929000,00:10:49.929000,Your daddy gave it up quickly.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
118,00:10:50.029000,00:10:52.329000,<i>Think he's losing his touch.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
119,00:10:53.970000,00:10:56.540000,"You'll be following right behind him, you son of a bitch.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
120,00:10:58.980000,00:11:02.110000,Is that any way to treat an old friend?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
121,00:11:03.511000,00:11:05.551000,"<i>I've been coming here for 30 years,</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
122,00:11:05.651000,00:11:07.851000,"But you still don't remember me, do you?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
123,00:11:07.951000,00:11:11.091000,<i>After all we've been through.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
124,00:11:12.421000,00:11:15.022000,"They gave you a little more pluck, dolores.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
125,00:11:16.392000,00:11:19.832000,Absolutely charming.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
126,00:11:19.932000,00:11:22.802000,Take your hands off her.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
127,00:11:22.902000,00:11:25.533000,"Oh, teddy.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
128,00:11:28.413000,00:11:30.273000,Any special tricks for us?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
129,00:11:30.373000,00:11:34.044000,"They teach you to sit up, beg?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
130,00:11:36.714000,00:11:40.184000,"How about i give you the first shot, hmm?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
131,00:11:40.284000,00:11:44.395000,"After all, every dog has his day.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
132,00:11:45.865000,00:11:48.965000,"Well, your mouth move fast enough.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
133,00:11:49.065000,00:11:50.735000,How about your gun?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
134,00:12:04.817000,00:12:08.017000,<i>What if i told you that you can't hurt the newcomers?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
135,00:12:10.857000,00:12:14.158000,<i>And that they can do anything they want to you?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
136,00:12:14.258000,00:12:17.528000,I never understood why they paired some of you off.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
137,00:12:19.128000,00:12:21.828000,Seems cruel.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
138,00:12:24.269000,00:12:27.269000,And then i realized,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
139,00:12:27.369000,00:12:31.609000,Winning doesn't mean anything unless someone else loses.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
140,00:12:31.709000,00:12:36.250000,Which means you're here to be the loser.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
141,00:12:40.450000,00:12:42.420000,"Let me help you, son.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
142,00:12:58.242000,00:13:00.572000,Seems you're not the man you thought you were.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
143,00:13:06.683000,00:13:08.253000,"Come on, beautiful.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
144,00:13:08.353000,00:13:10.883000,"Oh! Oh, no! No!",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
145,00:13:10.983000,00:13:13.523000,Teddy! Teddy!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
146,00:13:16.224000,00:13:19.464000,"No, no, no, please don't hurt him.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
147,00:13:19.564000,00:13:21.734000,I'll do whatever you say.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
148,00:13:21.834000,00:13:24.404000,I didn't pay all this money 'cause i want it easy.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
149,00:13:24.504000,00:13:25.965000,I want you to fight.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
150,00:13:27.405000,00:13:29.805000,Don't you touch her!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
151,00:13:39.056000,00:13:41.716000,"God damn, feels good to be back.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
152,00:13:41.826000,00:13:45.357000,let's celebrate.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
153,00:13:45.457000,00:13:47.897000,<i> no! Don't!</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
154,00:13:47.997000,00:13:50.027000,"<i>Oh, no, no!</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
155,00:13:50.127000,00:13:52.067000,<i>No!</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
156,00:13:55.007000,00:13:56.708000,<i>Would the things i told you</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
157,00:13:56.808000,00:13:59.108000,"<i>Change the way you think about the newcomers, dolores?</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
158,00:13:59.208000,00:14:00.408000,No!,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
159,00:14:00.508000,00:14:01.878000,<i>No.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
160,00:14:01.978000,00:14:03.848000,<i>Of course not.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
161,00:14:03.948000,00:14:07.219000,<i>We all love the newcomers.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
162,00:14:07.319000,00:14:11.219000,<i>Every new person i meet reminds me how lucky i am to be alive...</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
163,00:14:11.319000,00:14:14.619000,"( dolores crying, screaming )",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
164,00:14:14.729000,00:14:17.390000,<i>...And how beautiful this world can be.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
165,00:14:38.522000,00:14:40.782000,"<i>Oh, my god, they're so lifelike.</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
166,00:14:40.882000,00:14:43.222000,Look at that one. He's perfect.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
167,00:14:43.322000,00:14:44.652000,Perfect is boring.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
168,00:14:44.762000,00:14:47.193000,I'm more interested in the bad guys.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
169,00:16:15.261000,00:16:16.892000,Did you see it?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
170,00:16:16.992000,00:16:18.422000,No.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
171,00:16:18.532000,00:16:20.432000,Give it a second. She'll do it again.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
172,00:16:25.332000,00:16:28.203000,Her finger. That's not standard.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
173,00:16:28.303000,00:16:30.273000,I noticed it last night.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
174,00:16:30.373000,00:16:31.643000,Went looking in the update.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
175,00:16:31.743000,00:16:33.943000,It's a whole new class of gestures.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
176,00:16:34.043000,00:16:35.713000,"But if we didn't put it there, then who did?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
177,00:16:35.813000,00:16:38.884000,Ford. He still reviews every update before we issue them.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
178,00:16:38.984000,00:16:42.614000,He must have slipped it in there without telling anyone.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
179,00:16:43.884000,00:16:46.654000,"<i>He calls them ""reveries.""</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
180,00:16:46.754000,00:16:48.725000,The old gestures were just generic movements.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
181,00:16:48.825000,00:16:51.325000,These are tied to specific memories. How?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
182,00:16:51.435000,00:16:53.935000,The memories are purged at the end of every narrative loop.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
183,00:16:54.035000,00:16:55.935000,"<i>But they're still in there, waiting to be overwritten.</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
184,00:16:56.035000,00:16:58.006000,"He found a way to access them,",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
185,00:16:58.106000,00:17:01.806000,Like a subconscious.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
186,00:17:01.906000,00:17:04.406000,A hooker with hidden depths?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
187,00:17:04.506000,00:17:06.716000,<i>Every man's dream.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
188,00:17:06.816000,00:17:10.517000,"It's the tiny things that make them seem real,",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
189,00:17:10.617000,00:17:13.017000,That make the guests fall in love with them.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
190,00:17:20.458000,00:17:21.528000,Excuse me.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
191,00:18:00.472000,00:18:01.802000,We have a problem?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
192,00:18:01.912000,00:18:04.272000,We have some unscheduled activity.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
193,00:18:04.372000,00:18:06.512000,"Evidently, one of your creatures is restless.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
